team_id,team_name,website,youtube,facebook,instagram,twitter_X
1,Mumbai City FC,https://www.mumbaicityfc.com/,https://www.youtube.com/channel/UCaBoADTwZHQz-dyvtepJL3A,https://www.facebook.com/MumbaiCityFC/,https://www.instagram.com/mumbaicityfc/,https://x.com/mumbaicityfc
2,Bengaluru FC,https://www.bengalurufc.com/,https://www.youtube.com/@bengalurufctv,https://www.instagram.com/bengalurufc/?igsh=N2R0NHd2Z2k3Y3c3,https://www.instagram.com/bengalurufc/?igsh=N2R0NHd2Z2k3Y3c3,https://x.com/bengalurufc?t=uG-AbJsl26erc6fkzyuTQg&s=08
3,Mohun Bagan Super Giants,,https://www.youtube.com/channel/UCiePrR7_GbDltlbjOvDzUbg,https://www.facebook.com/mohunbagansgofficial/,https://www.instagram.com/mohunbagansg/,https://x.com/Mohun_Bagan
4,FC Goa,https://fcgoa.in/,https://www.youtube.com/channel/UCiIB2oS367YVFOYT0d7qUkg,https://www.facebook.com/FCGoaOfficial/,https://www.instagram.com/fcgoaofficial/,https://x.com/FCGoaOfficial
5,East Bengal FC,https://emamieastbengal.com/,https://www.youtube.com/channel/UCVHKETki18rVaDzEmRPonDA,https://www.facebook.com/EastBengalFootballClub,https://www.instagram.com/eastbengalfootballclub/,https://x.com/eastbengal_fc
6,Jamshedpur FC,https://www.fcjamshedpur.com/,https://www.youtube.com/@jamshedpur_fc,https://www.facebook.com/JamshedpurFC,https://www.instagram.com/jamshedpurfc,https://x.com/JamshedpurFC
7,Odisha FC,https://www.odishafc.com/,https://www.youtube.com/c/OdishaFCTV,https://www.facebook.com/OdishaFCOfficial/,https://www.instagram.com/odishafcofficial,https://x.com/odishafc
8,Kerala Blasters,https://keralablastersfc.in/,https://www.youtube.com/@keralablasters.,https://www.facebook.com/keralablasters,https://www.instagram.com/keralablasters,https://x.com/KeralaBlasters
9,Chennayin FC,,https://www.youtube.com/user/ChennaiyinFC,https://www.facebook.com/ChennaiyinFC/,https://www.instagram.com/chennaiyinfc,https://x.com/chennaiyinfc
10,Punjab FC,https://rgpunjabfc.com/,https://www.youtube.com/channel/UCcUSY0w2YneqZnIGbMmu_pQ,https://www.facebook.com/RGPunjabFC,https://www.instagram.com/rgpunjabfc/,https://x.com/RGPunjabFC
11,Inter Kashi,https://www.interkashi.com/,https://www.youtube.com/@Inter_Kashi,https://www.facebook.com/InterKashi,https://www.instagram.com/interkashi/,https://x.com/InterKashi
12,NorthEast United,https://www.neutdfc.com/,https://www.youtube.com/user/northeastunitedfc,https://www.facebook.com/neutdfc8/,http://instagram.com/northeastunitedfc/,https://x.com/NEUtdFC
13,Mohammedan SC,,https://www.youtube.com/@TheBlackAndWhiteBrigade,https://www.facebook.com/MohammedanS.C.Official,https://www.instagram.com/mohammedansc_official/,https://x.com/MohammedanSC
14,Sporting Delhi,https://www.scdelhi.in/,https://www.youtube.com/@scdelhi.official,https://www.facebook.com/scdelhi,https://www.instagram.com/scdelhi.official,https://x.com/OfficialSCDelhi
